id,time,description,mcc,originalMcc,amount,operationAmount,currencyCode,commissionRate,cashbackAmount,balance,hold,receiptId
bhLT8pe25GIQvvR3,1587067494,АТБ,5411,5411,-13700,-13700,980,0,137,1233105,false,HAX8-X6H8-5KB1-2323
82p8tUPN1wf9u9yH,1587031275,Apteka51PHarmavin,5912,5912,-3000,-3000,980,0,30,1246805,false,2KC1-0CKB-K506-X7C9
gJMbRy9DkfiPoFQo,1587030584,Сільпо,5411,5411,-3585,-3585,980,0,35,1249805,false,8726-PCP3-2K5B-EAK4
iUthXvKSLusJhDA1,1586952540,516874****7562,4829,4829,-20905,-20905,980,804,0,1253390,true,2CE8-A2KB-81B9-84C1
m_ehHqkSWO7wnThw,1586945764,ГРОШ,5411,5411,-10607,-10607,980,0,106,1274295,false,PX59-9701-4MM5-01X5
Qf9UzwWJQRbT36fK,1586944760,APTEKA 2,5912,5912,-8360,-8360,980,0,83,1284902,false,A1X8-CXCE-26T0-MC3P
pZljKV2zEYzBINnu,1586892915,Grand Pizza And Cake,5499,5499,-18015,-18015,980,0,180,1293262,false,BHHK-KTPP-MHHX-EE30
Peob2Hde8NBT3gTd,1586847705,Сільпо,5411,5411,-9633,-9633,980,0,96,1311277,false,E20T-9344-4860-M8CE
tQdUp1airpR_erZ8,1586772962,Сільпо,5411,5411,-10492,-10492,980,0,104,1320910,false,34K7-MK0H-7MKX-T4E0
AYnUNn840w7jzK7I,1586719074,Grand Pizza And Cake,5499,5499,-39735,-39735,980,0,397,1331402,false,084E-X3H4-EPTA-745E
McNy1cU1LdaSdEoO,1586718388,Гранд,5499,5499,-8900,-8900,980,0,89,1371137,false,7P5A-TK9T-E43M-3206
thkoplAbzlimt820,1586717634,"Киевстар
+380966265305",4814,4814,-8000,-8000,980,0,0,1380037,true,7KAA-EE4C-X06H-A868
MSjELrGSORYj-tkr,1586717618,"Vodafone
+380667790936",4814,4814,-9000,-9000,980,0,0,1388037,true,5MAB-7C2K-CPC3-30B8
1PRrhbDGX8diM-o,1586548384,WOG,5541,5541,-74325,-74325,980,0,0,1397037,false,3HEM-19MB-4A5X-3PTT
xis-bbIxj2QtBls,1586512932,Сільпо,5411,5411,-21627,-21627,980,0,216,1471362,false,68PE-T262-AP87-9E4E
_Fo1jvB8e2cyL_M,1586463230,Сільпо,5411,5411,-18348,-18348,980,0,183,1492989,false,2PK9-187K-53E0-40HP
0WafcciXipyytbU,1586425679,Сільпо,5411,5411,-13100,-13100,980,0,131,1511337,false,CA5K-2BE0-M991-CAAB
EU_zU2tr8mxHiLw,1586373121,Лінда-Фарм,5912,5912,-23052,-23052,980,0,230,1524437,false,6X7H-CCMM-T4B9-445T
NDGM1O1hFs-bjmk,1586372649,АТБ,5411,5411,-9140,-9140,980,0,91,1547489,false,K2BM-79KC-PTAM-K026
cvEbxTt2r8fs2TY,1586341242,Сільпо,5411,5411,-7494,-7494,980,0,74,1556629,false,5KK6-T24E-5E5P-9A40
8yRpBkZbTRO5n2A,1586286715,Grand Pizza And Cake,5499,5499,-21082,-21082,980,0,210,1564123,false,B8TA-A07K-71CH-C7CM
GM5JIRsuGr2xlJA,1586286098,Гранд,5499,5499,-8900,-8900,980,0,89,1585205,false,H361-90TM-71K7-X78T
1UKzAIF8Fd6RZxE,1586285756,WOG,5541,5541,-96215,-96215,980,0,0,1594105,false,4H38-5HB1-2KA8-BMM3
KSiAXhAmNrvxZEI,1586247492,"Гастроном ""Українські Товари""",5499,5499,-350,-350,980,0,3,1690320,false,KPMB-H9K4-PEC0-7PAP
ZlB2K7aiWSPCPqI,1586247185,"Гастроном ""Українські Товари""",5499,5499,-6800,-6800,980,0,68,1690670,false,T5TT-CBA7-P35X-7MP5
up_eIKyjRZ5roxI,1586196644,Apteka12PHARMAVIN,5912,5912,-7803,-7803,980,0,78,1697470,false,M05C-X113-9MXP-M8B4
YXeneeh2GOWaX3c,1586163327,Apteka12PHARMAVIN,5912,5912,-23024,-23024,980,0,230,1705273,false,47A3-9X71-8TX9-9X32
sRKSsX_qX9uOomU,1586161586,ГРОШ,5411,5411,-18752,-18752,980,0,187,1728297,false,9HCH-0T0K-P38B-58H5
XSTSZIThYabROlc,1586110041,АТБ,5411,5411,-7370,-7370,980,0,73,1747049,false,B3XK-MC97-EXH4-6ACH
U-M-X_ZLOaiJYjI,1586015594,Grand Pizza And Cake,5499,5499,-23021,-23021,980,0,230,1754419,false,20K6-B57H-5BK8-0217
RyF7bhCXdNP47lA,1586015065,Гранд,5499,5499,-8900,-8900,980,0,89,1777440,false,6T7X-0A33-A7ME-E89C
OqX1J0SbrAEZQVQ,1586003945,Епіцентр,5211,5211,-44429,-44429,980,0,0,1786340,false,X8TP-877B-PBH8-MEH4
6LrHE0Hs2oF0IoA,1585936706,Grand Pizza And Cake,5499,5499,-12996,-12996,980,0,129,1830769,false,8M75-XHP8-C949-C8E3
SwJYJAJmgqae_Mo,1585935665,Епіцентр,5211,5211,-3648,-3648,980,0,0,1843765,false,B2KH-581E-KE35-H24T
1Vt4fE5kQT5k0jk,1585900892,Apteka12PHARMAVIN,5912,5912,-8100,-8100,980,0,81,1847413,false,AB18-6EC0-6TX3-ETT8
3m6bwAizUka2eqk,1585900260,Лінда-Фарм,5912,5912,-42020,-42020,980,0,420,1855513,false,60M5-0783-AXKB-HPA3
TRi3TI5445s5LkU,1585899290,"Гастроном ""Українські Товари""",5499,5499,-10300,-10300,980,0,103,1897533,false,MCBM-P9BM-E7H5-4M01
H7mCphdO981Aogc,1585899016,"Гастроном ""Українські Товари""",5399,5399,-3940,-3940,980,0,39,1907833,false,PC2E-6C07-XAXH-08KP
dABRJH7ifIJREKQ,1585898867,MagazinUkrainskitovari,5499,5499,-1325,-1325,980,0,13,1911773,false,42TB-EE9A-2XXC-44X8
9xKQOq7hHQ7cwWo,1585898773,"Гастроном ""Українські Товари""",5399,5399,-2825,-2825,980,0,28,1913098,false,8194-7H15-KK2P-23T6
xMLr3uWUKtH-MC8,1585898587,Ukrainskitovari,5499,5499,-1550,-1550,980,0,15,1915923,false,H42K-3AP1-8495-6BX3
6BxU7ZEVrQv63RY,1585852685,Grand Pizza And Cake,5499,5499,-7590,-7590,980,0,75,1917473,false,36TH-9THX-XC96-XA73
RGmJNqAQv8kXh0c,1585819385,Aptechniy01,5912,5912,-3300,-3300,980,0,33,1925063,false,MA58-6E59-TT1B-P70K
FbKowUW2xk6wd0g,1585817876,"Гастроном ""Українські Товари""",5499,5499,-5300,-5300,980,0,53,1928363,false,2E5H-MK79-76B7-K84B
u6bReUeVgZl2f4w,1585817760,"Гастроном ""Українські Товари""",5499,5499,-1850,-1850,980,0,18,1933663,false,3X4B-00M1-XX0E-BEB5
a1AVu1pWo_zR72g,1585817668,"Гастроном ""Українські Товари""",5499,5499,-12600,-12600,980,0,126,1935513,false,670A-TXKT-4A6T-5T27
Q6GOjzILtci9RjA,1585768914,Grand Pizza And Cake,5499,5499,-20142,-20142,980,0,201,1948113,false,632B-CCPA-9672-9HC4
3ogHkmropBkQhyw,1585768490,Гранд,5499,5499,-8900,-8900,980,0,89,1968255,false,9ATP-9H7K-PM92-M6K8
Re4h9TgaOYc5wL8,1585751910,MAGAZINUKRAINOCHKA1,5499,5499,-4740,-4740,980,0,47,1977155,false,8APK-M35X-1BTC-032K
dQ0IZz4-CVa5Xyg,1585751718,UKRAYINOCHKA,5499,5499,-3770,-3770,980,0,37,1981895,false,7H07-PPKH-HP7B-4APK
,,,,,,,,,,,,
,,,,,,,,,,,,
NlQ1it1QjOOA4gwZ,1591005375,537523****4293,4829,4829,-1000000,-1000000,980,0,0,3433239,true,6H44-1K2K-E7M2-MKME
uhCQN9CCPg-6o0sG,1590995808,ГРОШ,5411,5411,-11981,-11981,980,0,239,4433239,false,CE3T-51AM-AC23-3K7B
1JMh2c_FvzorD_lP,1590980594,Відсотки за травень,4829,4829,2472,2472,980,0,0,4445220,true,
y7xxVV8jnu1H4J2q,1590965625,Від: 525822****4830,4829,4829,150000,150000,980,0,0,4442748,true,
Jg5AVBkovdP62Z9H,1590821139,Від: 525822****4830,4829,4829,490000,490000,980,0,0,4292748,true,
Cz2foZ5v_ZnlBdHF,1590787742,Від: 519745****0174,4829,4829,490000,490000,980,0,0,3802748,true,
99mmxYJvfF8SIjmV,1590745982,Від: 519745****0174,4829,4829,490000,490000,980,0,0,3312748,true,
1YwUYkpLYirLmPQ7,1590681474,Від: 519745****0174,4829,4829,490000,490000,980,0,0,2822748,true,
ZlglVE_ga4xkyKs1,1590675767,"Киевстар
+380982735967",4814,4814,-12000,-12000,980,0,0,2332748,true,8MC1-MEPC-H92T-4E4T
p1sPVKSRqII78ZjL,1590515527,Космонавтов 46,5912,5912,-1300,-1300,980,0,52,2344748,false,E87A-718P-TX77-778T
36LoGBNEqBExHvF7,1590483911,Apteka103PHarmavin,5912,5912,-31420,-31420,980,0,1256,2346048,false,5038-9K4A-4H7T-H3P6
J-ODHzVbuA7ubmyZ,1590339864,LIQPAY*Qnet,4816,4816,-15450,-15450,980,0,0,2377468,false,9B1X-5HHT-AX52-A0XC
200ebyAajYnLsL5I,1590339675,EasyPay,4900,4900,-99855,-99855,980,0,0,2392918,false,1BAC-HKBA-6XMX-1TMA
BxfKBY0XqerTKQH5,1590239307,"Киевстар
+380672944583",4814,4814,-16000,-16000,980,0,0,2492773,true,8ET9-AP6T-B8E5-36KX
2uixLols1bVP5Lzv,1590144308,EVEREST24.COM.UA,4816,4816,-19500,-19500,980,0,0,2508773,false,CA32-6H0E-6CK2-8EPA
hjj1MyBHGMX54sYs,1590143771,WWW.PAY.VN.UA,4900,4900,-70532,-70532,980,0,0,2528273,false,2C98-91CX-A9MX-K796
LYYiwJFuHu8WMoRL,1589879112,Apteka103PHarmavin,5912,5912,-14280,-14280,980,0,571,2598805,false,7M1M-X24H-BC6T-EKAA
Cki4i0LDh6XlQLwU,1589810322,Нова пошта,7399,7399,-4000,-4000,980,0,0,2613085,false,7H7H-AK0C-E0CH-5A80
tLDyWeYsidPXQFPP,1589568205,Від: 519745****0174,4829,4829,500000,500000,980,0,0,2617085,true,
lBGu9e_8dzL5VU4h,1589441094,ZooHouse1,5995,5995,-26700,-26700,980,0,5340,2117085,false,8M6M-069E-KM42-6547
yNdUm8rtBhgHe1DR,1589355379,Apteka100PHarmavin,5912,5912,-5905,-5905,980,0,236,2143785,false,M838-H3K9-55K4-K194
QbVH0A3TLfAQjnFz,1589231658,Від: 525822****4830,4829,4829,200000,200000,980,0,0,2149690,true,
iq3pgn3spdSmN5SM,1589175044,"Vodafone
+380667790936",4814,4814,-8000,-8000,980,0,0,1949690,true,0936-90CT-310P-EME7
CTcNTO_msubNQXK2,1589149109,Від: 525822****4830,4829,4829,490000,490000,980,0,0,1957690,true,
tNiZD51O4RaKLvEk,1589120325,Аптека «Бажаємо здоров’я»,5912,5912,-12795,-12795,980,0,127,1467690,false,M456-1527-9XM5-H0AH
Ebtyvjkhb6hWyqZh,1589059424,Від: 525822****4830,4829,4829,490000,490000,980,0,0,1480485,true,
3VCyop-_A_KUhJwx,1588973713,Від: 525822****4830,4829,4829,490000,490000,980,0,0,990485,true,
pXo1Hl1iVqPpvx1V,1588969797,Від: 525822****4830,4829,4829,490000,490000,980,0,0,500485,true,
Tb9BRkjCOaE3DWSy,1588618185,Лінда-Фарм,5912,5912,-33472,-33472,980,0,334,10485,false,C08K-55XC-C85P-5B24
47PnQIO20Rm6UrUm,1588427148,Аптека «Бажаємо здоров’я»,5912,5912,-15345,-15345,980,0,153,43957,false,AXBK-0AMM-4K93-9XE0
zidPZIUBRhLNelb6,1588354415,Виведення кешбеку 105.16₴,4829,4829,8465,8465,980,0,0,59302,true,
,,,,,,,,,,,,
,,,,,,,,,,,,
h1UvL9IOCqv9s04P,1593585189,Відсотки за червень,4829,4829,316,316,980,0,0,279771,true,
d8CMohBUQLl5SlCm,1593541774,Корона,5411,5411,-10987,-10987,980,0,109,279455,false,K969-A526-C3MA-C8MT
69vIQO2mRWJTQ60B,1593541257,Лінда-Фарм,5912,5912,-3300,-3300,980,0,0,290442,false,BB7T-4XCA-3EH0-3726
dOlH2jOf7RLjL-Tv,1593460241,АТБ,5411,5411,-43140,-43140,980,0,431,293742,false,X6AH-E94P-HKXC-A60B
vda26yRuHn6MDW-3,1593452149,Гранд,5499,5499,-4901,-4901,980,0,49,336882,false,47P2-5C1X-1A45-8MT0
zzU415Ics8wp670c,1593451056,ГРОШ,5499,5499,-47659,-47659,980,0,476,341783,false,XPKB-8PKB-KM81-H512
O-53ggNjqb5p0Ctd,1593343642,АТБ,5411,5411,-6610,-6610,980,0,66,389442,false,BA83-8AKH-H817-T531
6DnYoJGyRlYXbs_p,1593341177,Fantan,5200,5200,-214500,-214500,980,0,0,396052,false,9PT5-TPH2-5K4C-BE4P
nr1q-Iv25KVGaxWY,1593275713,Табакерка,5993,5993,-9100,-9100,980,0,0,610552,false,0786-0E23-MABH-TBKP
-YJJFc07f4uGofYR,1593275353,METRO,5499,5499,-40926,-40926,980,0,409,619652,false,P610-61EH-55EH-2MH9
yiSyLdjSWuGZvi5d,1593189296,Grand Pizza And Cake,5814,5814,-1400,-1400,980,0,0,660578,false,9XK3-P270-31CT-P0HT
zj4vLpzuWVtS_-nm,1593189152,Grand Pizza And Cake,5499,5499,-6153,-6153,980,0,61,661978,false,M026-07K9-M1AX-EM86
O5QJK06H64JTShDC,1593188556,АТБ,5411,5411,-14590,-14590,980,0,145,668131,false,A4M1-47M0-2EC9-5AB6
